A:Aachen
Ä:Umlaut Aachen
B:Berlin
C:Chemnitz
D:Düsseldorf
E:Essen
F:Frankfurt
G:Goslar
H:Hamburg
I:Ingelheim
J:Jena
K:Köln
L:Leipzig
M:München
N:Nürnberg
O:Offenbach
Ö:Umlaut Offenbach
P:Potsdam
Q:Quickborn
R:Rostock
S:Salzwedel
ß:Eszett
T:Tübingen
U:Unna
Ü:Umlaut Unna
V:Völklingen
W:Wuppertal
X:Xanten
Y:Ypsilon
Z:Zwickau
